site_id,lon,lat,block_id,OC_gkg
45703230,13.63736924398266,52.12389096151532,0,8.9
42622896,9.191067913704678,49.17418289458046,4,14.2
42822906,9.464245591605424,49.26572122203224,4,20.2
42822960,9.458855699900708,49.75135046462725,1,15.9
43022872,9.740657204529,48.96092284613049,4,13.1
43162914,9.931189876290752,49.33893391768798,4,29.1
42522758,9.07707170414991,47.93172302511475,4,25.7
42602746,9.185767853528374,47.82455401171929,4,60.0
42602758,9.184061054488543,47.93253150887045,4,20.3
44202858,11.34801274240406,48.82716370032509,3,13.0
44482856,11.728449265228678,48.80389733446639,3,52.1
45502846,13.10996834067609,48.68388241250803,3,29.8
45202898,12.728543671038942,49.161875975188025,3,14.4
44042974,11.154515630204717,49.87262302798339,9,20.3
44042890,11.136728987579149,49.117319537095696,3,16.3
43382794,10.22889156144796,48.25924877770473,4,12.6
44923314,12.54205341805573,52.90776087843801,7,9.5
45103272,12.785407028523707,52.52471924128945,7,9.4
45883320,13.971991687317184,52.92294240673964,0,11.7
42263008,8.670134880443767,50.17652308860102,1,24.5
42363036,8.80371436319234,50.42975816719432,1,16.7
42403026,8.862194688188522,50.340375796424425,1,14.2
41823036,8.044009127412462,50.41924787837012,6,22.0
42323086,8.735442401599256,50.87855648314043,1,8.5
42323104,8.731040656707071,51.04034306581036,1,15.8
43023088,9.729877421119568,50.90308049039689,1,11.3
43043060,9.759611657023925,50.65146237931501,1,13.0
44603404,12.105921347615702,53.72522778698678,7,14.1
45163414,12.959770025171306,53.79745233582999,7,14.4
43263238,10.073213522710049,52.25163139491712,5,18.9
42543248,9.016974411642314,52.33742050455053,2,19.0
43043230,9.751436987938437,52.17949667760232,5,12.1
43083270,9.808390176951614,52.539092285835366,5,15.9
43023370,9.714156903647476,53.4374974014833,8,12.8
43483278,10.398583318618138,52.61041851939445,5,15.8
40903100,6.710549919665444,50.96461508735908,6,15.6
41523186,7.551822183243376,51.75881563004915,2,14.6
41603222,7.650816527553347,52.08454475207088,2,19.8
42343226,8.729244026138833,52.13700636466346,2,12.4
42503248,8.95831442358931,52.33697134690847,2,12.0
42543212,9.02407110238686,52.01393717073909,1,15.9
42603190,9.115339935253402,51.81693662893168,1,11.3
41602942,7.774245047591369,49.56881279889416,6,15.9
41782970,8.01265792399669,49.82519198098188,6,19.5
43943284,11.078877483281852,52.66018518613468,5,12.6
44263126,11.50351111808515,51.23527748246429,9,16.0
44383218,11.706081214654102,52.05957158717237,7,20.0
44603256,12.04232062550004,52.39590082954671,7,17.4
43463466,10.383940779486991,54.29988007423804,8,14.4
43503456,10.444397398108237,54.209868882769264,8,13.9
43743460,10.81279649612565,54.24391503203739,8,11.8
43543126,10.472604498029588,51.24408097224866,9,17.0
43583104,10.527581393417702,51.04609228362872,9,23.4
43743118,10.757819600737536,51.17059878200769,9,17.7
44103118,11.27246442700961,51.16610720558709,9,21.8
44403106,11.697277724869732,51.05282964825962,9,21.0
41122980,7.090716947904825,49.8952605731432,6,21.6
44263288,11.553008290240136,52.69090756885157,7,9.2
40902992,6.77756423986076,49.99479390662364,6,17.3
42862834,9.525420862453965,48.61839522829571,4,28.4
43182798,9.95957663926893,48.29554071518316,4,15.0
44442852,11.67284354914168,48.76877320685732,3,43.8
44482888,11.738600227939228,49.09162771996988,3,20.8
44542962,11.845679409806277,49.755572546462616,3,10.5
44962896,12.398772130238664,49.15145551789224,3,10.3
44042998,11.15972585885261,50.0883983592289,9,40.9
44603022,11.95078229804826,50.29348373859338,9,18.1
42682952,9.26571791381501,49.67831743202834,1,15.6
43862854,10.884482055798388,48.79581249690932,3,15.9
43183122,9.957061356473394,51.209046676168,1,17.3
42483322,8.91268000715604,53.00163482562851,2,12.7
41463292,7.410247694466139,52.70896370606236,2,30.7
41983298,8.177139452518974,52.77696617307021,2,18.3
41143228,6.976630906821645,52.12317230928802,2,20.5
41543058,7.64039607025756,50.60960088707505,6,15.2
40742982,6.561160087916367,49.89840467663762,6,17.3
