feature_set,year,block,ROC_AUC,PR_AUC,n_test,prevalence
AEF,2019,9,0.49120160884866765,0.0402254323422762,230,0.039
AEF,2020,0,0.5437158469945355,0.06710787572027285,193,0.052
AEF,2020,1,0.5361097737120848,0.23378488106937112,165,0.188
AEF,2020,2,0.3497536945812808,0.0332346871435439,181,0.039
AEF,2020,3,0.3571296808706881,0.16993975479308196,178,0.219
AEF,2020,4,0.5291978609625669,0.14142116917092215,212,0.118
AEF,2020,5,0.597483407079646,0.18857469375257724,258,0.124
AEF,2020,6,0.40178961152335224,0.15917254658316154,187,0.155
AEF,2020,7,0.32236082236082236,0.3008236282424817,191,0.387
AEF,2020,8,0.5387596899224806,0.06240397983817121,181,0.05
AEF,2020,9,0.44250436517834874,0.08288143456156082,230,0.083
AEF,2021,0,0.4064171122994652,0.03655612064869709,193,0.031
AEF,2021,1,0.7065217391304348,0.07734335839598996,165,0.024
AEF,2021,2,0.5494871794871795,0.23204501109915882,181,0.138
AEF,2021,3,0.625,0.13387087448130183,178,0.101
AEF,2021,4,0.4920280612244898,0.14856499259244943,212,0.075
AEF,2021,5,0.6138211382113821,0.07863791017634572,258,0.047
AEF,2021,6,0.710077519379845,0.2647921280116543,187,0.08
AEF,2021,7,0.7717065868263473,0.34169767787540406,191,0.126
AEF,2021,8,0.6005347593582888,0.07639496139496563,181,0.061
AEF,2021,9,0.4469582704876823,0.041766155967645505,230,0.039
AEF,2022,0,0.5325596389426176,0.5605103994011668,193,0.513
AEF,2022,1,0.4306367771280052,0.6012242504050085,165,0.655
AEF,2022,2,0.6091079059829061,0.7428338982977416,181,0.646
AEF,2022,3,0.453420467185762,0.6424618223197949,178,0.652
AEF,2022,4,0.526943974347555,0.5005990387487582,212,0.486
AEF,2022,5,0.48840456532297233,0.5846098205027446,258,0.55
AEF,2022,6,0.6234967622571693,0.8379391435542614,187,0.754
AEF,2022,7,0.5667693888032871,0.7415256916832237,191,0.691
AEF,2022,8,0.528169014084507,0.6397089511890328,181,0.608
AEF,2022,9,0.49296680331163095,0.6092316254929032,230,0.622
AEF,2023,0,0.7447916666666667,0.02,193,0.005
AEF,2023,1,0.3539094650205761,0.01797031129453538,165,0.018
AEF,2023,2,0.5713213213213213,0.22142421776684684,181,0.204
AEF,2023,3,0.6101571063207891,0.1494599958748457,178,0.096
AEF,2023,4,0.540766550522648,0.050613326821287795,212,0.033
AEF,2023,5,0.609103078982597,0.19754092293578068,258,0.035
AEF,2023,6,0.6019066403681788,0.15101420281042577,187,0.096
AEF,2023,7,0.7486187845303867,0.2130673760779979,191,0.052
AEF,2023,8,0.46148459383753504,0.1796818104673669,181,0.155
AEF,2023,9,0.5636261261261261,0.056945000264211,230,0.035
AEF,2024,0,0.3087719298245614,0.014407626194917051,193,0.016
AEF,2024,1,0.5786163522012578,0.046856954159187524,165,0.036
AEF,2024,2,0.6395730706075534,0.14159352998401462,181,0.039
AEF,2024,3,0.6349206349206349,0.10267706214821079,178,0.039
AEF,2024,4,0.43540669856459335,0.018059283463648032,212,0.014
AEF,2024,5,0.389032020610968,0.03563715382731381,258,0.043
AEF,2024,6,0.4405405405405405,0.017857142857142856,187,0.011
AEF,2024,7,0.5849462365591398,0.04229508914114671,191,0.026
AEF,2024,8,0.5840909090909091,0.05945744363056937,181,0.028
AEF,2024,9,0.4754464285714286,0.041479105978301234,230,0.026
AEF+Stack,2018,0,0.563562091503268,0.8394827218003531,193,0.793
AEF+Stack,2018,1,0.5922058823529411,0.6135970041716462,165,0.515
AEF+Stack,2018,2,0.5843917928676112,0.617414394768624,181,0.492
AEF+Stack,2018,3,0.4374120956399437,0.4436808953801712,178,0.444
AEF+Stack,2018,4,0.6155185758513934,0.723143379561204,212,0.642
AEF+Stack,2018,5,0.6463414634146343,0.7938662256355322,258,0.682
AEF+Stack,2018,6,0.607816091954023,0.6012448099381873,187,0.535
AEF+Stack,2018,7,0.4657657657657658,0.44683003363904594,191,0.419
AEF+Stack,2018,8,0.539874213836478,0.6253795326315941,181,0.586
AEF+Stack,2018,9,0.575206043956044,0.8159412414740733,230,0.791
AEF+Stack,2019,0,0.5180180180180181,0.2043756672441794,193,0.192
AEF+Stack,2019,1,0.46475563909774437,0.2148355778841046,165,0.194
AEF+Stack,2019,2,0.6596491228070176,0.11788379382052319,181,0.055
AEF+Stack,2019,3,0.4450867052023122,0.028728841152760816,178,0.028
AEF+Stack,2019,4,0.4831429750928856,0.1967172408757476,212,0.203
AEF+Stack,2019,5,0.6025959978366685,0.20982417308042928,258,0.167
AEF+Stack,2019,6,0.45867768595041325,0.08636887845690702,187,0.059
AEF+Stack,2019,7,0.5893939393939394,0.11394556643273385,191,0.079
AEF+Stack,2019,8,0.4852941176470589,0.1357221057577928,181,0.094
AEF+Stack,2019,9,0.42131724484665656,0.04122255550420685,230,0.039
AEF+Stack,2020,0,0.3765027322404372,0.09088132566312918,193,0.052
AEF+Stack,2020,1,0.5187770823302841,0.21121502543310683,165,0.188
AEF+Stack,2020,2,0.6403940886699507,0.07010556222928249,181,0.039
AEF+Stack,2020,3,0.43663530713890425,0.18898468695840104,178,0.219
AEF+Stack,2020,4,0.5172192513368984,0.20145526564773603,212,0.118
AEF+Stack,2020,5,0.4738661504424779,0.11604369651074886,258,0.124
AEF+Stack,2020,6,0.42099519860323,0.13587976147667338,187,0.155
AEF+Stack,2020,7,0.3894663894663894,0.3257348405703642,191,0.387
AEF+Stack,2020,8,0.5826873385012921,0.07387982398129764,181,0.05
AEF+Stack,2020,9,0.49937640309304066,0.0904010120747808,230,0.083
AEF+Stack,2021,0,0.5258467023172906,0.09019014272952444,193,0.031
AEF+Stack,2021,1,0.7531055900621118,0.07254104893990117,165,0.024
AEF+Stack,2021,2,0.69,0.35614931691935026,181,0.138
AEF+Stack,2021,3,0.6684027777777778,0.20250897752406996,178,0.101
AEF+Stack,2021,4,0.6004464285714286,0.09721112700517927,212,0.075
AEF+Stack,2021,5,0.6487127371273713,0.08492067642158402,258,0.047
AEF+Stack,2021,6,0.7325581395348838,0.2225344864828049,187,0.08
AEF+Stack,2021,7,0.7836826347305389,0.4225053478896743,191,0.126
AEF+Stack,2021,8,0.7251336898395722,0.19426020993202028,181,0.061
AEF+Stack,2021,9,0.4575163398692811,0.03802131613272601,230,0.039
AEF+Stack,2022,0,0.5362131957876639,0.5690907951911299,193,0.513
AEF+Stack,2022,1,0.4727095516569201,0.6447553761779473,165,0.655
AEF+Stack,2022,2,0.5868055555555556,0.7019187572519312,181,0.646
AEF+Stack,2022,3,0.5703559510567296,0.6899914509254922,178,0.652
AEF+Stack,2022,4,0.48142869867284227,0.5039871411260342,212,0.486
AEF+Stack,2022,5,0.4762627489072365,0.5581253817113042,258,0.55
AEF+Stack,2022,6,0.5670675300647549,0.7984756667204508,187,0.754
AEF+Stack,2022,7,0.4831792501284027,0.7021599273795618,191,0.691
AEF+Stack,2022,8,0.5005121638924455,0.5980637224856211,181,0.608
AEF+Stack,2022,9,0.5514829997588618,0.6760826767208898,230,0.622
AEF+Stack,2023,0,0.75,0.02040816326530612,193,0.005
AEF+Stack,2023,1,0.28600823045267487,0.01646170663387306,165,0.018
AEF+Stack,2023,2,0.6054804804804805,0.2586408515851541,181,0.204
AEF+Stack,2023,3,0.5791012056996712,0.11795767270427948,178,0.096
AEF+Stack,2023,4,0.5512195121951219,0.04595880435723036,212,0.033
AEF+Stack,2023,5,0.5988398036590807,0.09550291193625554,258,0.035
AEF+Stack,2023,6,0.6199868507560815,0.20308650022841734,187,0.096
AEF+Stack,2023,7,0.7773480662983425,0.13872979057071877,191,0.052
AEF+Stack,2023,8,0.5091036414565826,0.15518535543754441,181,0.155
AEF+Stack,2023,9,0.5591216216216216,0.09218065249257378,230,0.035
AEF+Stack,2024,0,0.6210526315789474,0.03116952742549283,193,0.016
AEF+Stack,2024,1,0.3763102725366876,0.03212470156625793,165,0.036
AEF+Stack,2024,2,0.4860426929392446,0.09333302765306811,181,0.039
AEF+Stack,2024,3,0.5446950710108605,0.071260923590156,178,0.039
AEF+Stack,2024,4,0.40669856459330134,0.015962566844919784,212,0.014
AEF+Stack,2024,5,0.27861612072138386,0.03016240752221705,258,0.043
AEF+Stack,2024,6,0.4027027027027027,0.013098682095789136,187,0.011
AEF+Stack,2024,7,0.45913978494623653,0.029684371697692488,191,0.026
AEF+Stack,2024,8,0.5011363636363637,0.03514778062077962,181,0.028
AEF+Stack,2024,9,0.4523809523809524,0.030546248095620288,230,0.026
