feature_set,year,block,ROC_AUC,PR_AUC,Brier,n_test,n_train,prevalence
Stack,2021,7,0.4442838792549775,0.08454804354522445,0.09075889736413956,191,10710,0.094
Stack,2021,8,0.7512919896640827,0.1828336272780717,0.04562601447105408,181,10770,0.05
Stack,2021,9,0.5952380952380952,0.03481244228110188,0.027010807767510414,230,10476,0.026
Stack,2022,0,0.5908738938053097,0.484751880370149,0.30205443501472473,193,10698,0.415
Stack,2022,1,0.5354770531400966,0.6120087346256881,0.4628688395023346,165,10866,0.582
Stack,2022,2,0.4616462793068298,0.6028248316336227,0.4952758550643921,181,10770,0.602
Stack,2022,3,0.6010267210741082,0.6872935518220853,0.37282463908195496,178,10788,0.601
Stack,2022,4,0.4690346083788708,0.44432869680034753,0.34453704953193665,212,10584,0.425
Stack,2022,5,0.40358838732944646,0.44515921239522693,0.4079202711582184,258,10308,0.492
Stack,2022,6,0.4760498687664042,0.6657446625028347,0.5247093439102173,187,10734,0.679
Stack,2022,7,0.34595959595959597,0.4949886003386163,0.42048731446266174,191,10710,0.576
Stack,2022,8,0.5551851851851851,0.6029486296290784,0.4235962927341461,181,10770,0.552
Stack,2022,9,0.505610736219577,0.5409566031121683,0.47296544909477234,230,10476,0.526
Stack,2023,0,0.125,0.005917159763313609,0.03282447159290314,193,10698,0.005
Stack,2023,1,0.3847736625514403,0.01875997127713375,0.052000969648361206,165,10866,0.018
Stack,2023,2,0.6055487305487306,0.26225305112552577,0.15986226499080658,181,10770,0.182
Stack,2023,3,0.41943385955362,0.05793573425895397,0.06727170944213867,178,10788,0.062
Stack,2023,4,0.38521634615384615,0.028751954466940212,0.057538311928510666,212,10584,0.019
Stack,2023,5,0.2701719576719577,0.01753465776014064,0.08208151161670685,258,10308,0.023
Stack,2023,6,0.48190476190476195,0.0651301294885664,0.06280013918876648,187,10734,0.064
Stack,2023,7,0.5597677595628415,0.05084326841790727,0.040869876742362976,191,10710,0.042
Stack,2023,8,0.4101506456241033,0.09216709661530464,0.09190541505813599,181,10770,0.094
Stack,2023,9,0.6798825256975036,0.036658249158249154,0.051929622888565063,230,10476,0.013
Stack,2024,0,0.5340314136125655,0.022795698924731184,0.052639223635196686,193,10698,0.01
Stack,2024,1,0.47282608695652173,0.050741884813201424,0.12145870923995972,165,10866,0.024
Stack,2024,2,0.35852272727272727,0.02588948548928889,0.03996153175830841,181,10770,0.028
Stack,2024,3,0.33914728682170536,0.03135336976330402,0.04165239259600639,178,10788,0.034
Stack,2024,4,0.25598086124401914,0.01247952497952498,0.22694018483161926,212,10584,0.014
Stack,2024,5,0.26751450245426145,0.03313717374554395,0.17305636405944824,258,10308,0.035
Stack,2024,6,0.581081081081081,0.02074213049822806,0.03530362248420715,187,10734,0.011
Stack,2024,7,0.46720430107526884,0.22174973971381157,0.05773642286658287,191,10710,0.026
Stack,2024,8,0.4681647940074906,0.022086056644880173,0.0408409982919693,181,10770,0.017
Stack,2024,9,0.43229166666666663,0.02771248919096721,0.07341964542865753,230,10476,0.026
AEF,2018,0,0.3841480254073461,0.6781196225223911,0.5427449345588684,193,10698,0.736
AEF,2018,1,0.5723195723195723,0.5211244503225583,0.2566944360733032,165,10866,0.448
AEF,2018,2,0.5681704260651629,0.49094678161904703,0.2808171808719635,181,10770,0.42
AEF,2018,3,0.5155080213903743,0.39645361575202975,0.29025083780288696,178,10788,0.382
AEF,2018,4,0.5413355257148077,0.6497317423569333,0.3060934245586395,212,10584,0.58
AEF,2018,5,0.5265560699588477,0.6400148713928817,0.3391766846179962,258,10308,0.628
AEF,2018,6,0.556815578465063,0.5399468483130632,0.28433164954185486,187,10734,0.481
AEF,2018,7,0.39572649572649576,0.2904566551690268,0.29025471210479736,191,10710,0.34
AEF,2018,8,0.5344869906725577,0.5915815937721037,0.31568101048469543,181,10770,0.536
AEF,2018,9,0.4437402597402597,0.745638207578265,0.5021068453788757,230,10476,0.761
AEF,2019,0,0.47,0.11815920487889323,0.12400709837675095,193,10698,0.13
AEF,2019,1,0.46312778130959953,0.1353925362047,0.12544932961463928,165,10866,0.133
AEF,2019,2,0.6227390180878553,0.07594963577539438,0.06623329967260361,181,10770,0.05
AEF,2019,3,0.5352380952380952,0.02540414680512995,0.025630053132772446,178,10788,0.017
AEF,2019,4,0.5056288819875777,0.13953245762928476,0.12671025097370148,212,10584,0.132
AEF,2019,5,0.4472222222222222,0.10904764118192883,0.1140330508351326,258,10308,0.116
AEF,2019,6,0.48526703499079193,0.038511375644697414,0.04391465708613396,187,10734,0.032
AEF,2019,7,0.615995115995116,0.10278325805088483,0.05104611814022064,191,10710,0.047
AEF,2019,8,0.6274853801169591,0.11135392104513357,0.08156643807888031,181,10770,0.055
